CAMPANA,CODIGO_DEL_PRODUCTO,CANTIDADES_ESTIMADAS
201901,P00100,9042
201901,P00101,1909
201901,P00102,6543
201901,P00103,13588
201901,P00104,991
201901,P00105,4916
201901,P00106,1363
201901,P00107,2547
201901,P00108,609
201901,P00109,16554
201901,P00110,4014
201901,P00111,2235
201901,P00112,2630
201901,P00113,12828
201901,P00114,3620
201901,P00115,10352
201901,P00116,30050
201901,P00117,6334
201901,P00118,966
201901,P00119,12072
201901,P00120,3104
201901,P00121,913
201901,P00122,3167
201901,P00123,13178
201901,P00124,2311
201901,P00125,8981
201901,P00126,4738
201901,P00127,35303
201901,P00128,999
201901,P00129,13918
201901,P00130,14697
201901,P00131,5975
201901,P00132,3335
201901,P00133,10253
201901,P00134,9379
201901,P00135,1097
201901,P00136,666
201901,P00137,2028
201901,P00138,2813
201901,P00139,43
201901,P00140,13375
201901,P00141,3368
201901,P00142,2366
201901,P00143,539
201901,P00144,760
201901,P00145,458
201901,P00146,5207
201901,P00147,6064
201901,P00148,3348
201901,P00149,6018
201901,P00150,4412
201901,P00151,1467
201901,P00152,4775
201901,P00153,5353
201901,P00154,7462
201901,P00155,415
201901,P00156,1867
201901,P00157,9396
201901,P00158,5563
201901,P00159,7500
201901,P00160,5648
201901,P00161,6094
201901,P00162,1965
201901,P00163,7036
201901,P00164,8799
201901,P00165,630
201901,P00166,13010
201901,P00167,28337
201901,P00168,817
201901,P00169,733
201901,P00170,3450
201901,P00171,2656
201901,P00172,11953
201901,P00173,7281
201901,P00174,739
201901,P00175,35550
201901,P00176,1481
201901,P00177,1038
201901,P00178,1078
201901,P00179,3468
201901,P00180,18508
201901,P00181,928
201901,P00182,437
201901,P00183,5694
201901,P00184,2604
201901,P00185,2562
201901,P00186,430
201901,P00187,11889
201901,P00188,6443
201901,P00189,3760
201901,P00190,8671
201901,P00191,4343
201901,P00192,2654
201901,P00193,1136
201901,P00194,19017
201901,P00195,12813
201901,P00196,5118
201901,P00197,4721
201901,P00198,4092
201901,P00199,1249
201901,P00200,37346
201901,P00201,2447
201901,P00202,593
201901,P00203,19006
201901,P00204,363
201901,P00205,11095
201901,P00206,22287
201901,P00207,2737
201901,P00208,1808
201901,P00209,9686
201901,P00210,3543
201901,P00211,6120
201901,P00212,5183
201901,P00213,26471
201901,P00214,658
201901,P00215,4818
201901,P00216,4300
201901,P00217,14776
201901,P00218,1646
201901,P00219,2836
201901,P00220,13543
201901,P00221,3012
201901,P00222,650
201901,P00223,1649
201901,P00224,5881
201901,P00225,1316
201901,P00226,475
201901,P00227,8668
201901,P00228,2631
201901,P00229,6071
201901,P00230,2095
201901,P00231,16275
201901,P00232,1368
201901,P00233,1966
201901,P00234,8517
201901,P00235,9279
201901,P00236,8009
201901,P00237,17798
201901,P00238,1102
201901,P00239,8340
201901,P00240,22161
201901,P00241,1245
201901,P00242,2642
201901,P00243,841
201901,P00244,1676
201901,P00245,3825
201901,P00246,2462
201901,P00247,3039
201901,P00248,6998
201901,P00249,10902
201901,P00250,3410
201901,P00251,603
201901,P00252,3578
201901,P00253,6317
201901,P00254,15672
201901,P00255,13002
201901,P00256,10973
201901,P00257,2574
201901,P00258,1386
201901,P00259,1227
201901,P00260,25860
201901,P00261,2134
201901,P00262,18131
201901,P00263,7917
201901,P00264,446
201901,P00265,5947
201901,P00266,8738
201901,P00267,2017
201901,P00268,4572
201901,P00269,1788
201901,P00270,4537
201901,P00271,2770
201901,P00272,1924
201901,P00273,6457
201901,P00274,785
201901,P00275,720
201901,P00276,13835
201901,P00277,2352
201901,P00278,6236
201901,P00279,4516
201901,P00280,16859
201901,P00281,3548
201901,P00282,20489
201901,P00283,619
201901,P00284,2873
201901,P00285,3664
201901,P00286,3029
201901,P00287,12049
201901,P00288,2675
201901,P00289,3426
201901,P00290,30360
201901,P00291,1668
201901,P00292,1470
201901,P00293,27786
201901,P00294,12041
201901,P00295,64
201901,P00296,1633
201901,P00297,13630
201901,P00298,1359
201901,P00299,1177
201901,P00300,4921
201901,P00301,3673
201901,P00302,86
201901,P00303,1471
201901,P00304,2690
201901,P00305,919
201901,P00306,5784
201901,P00307,4721
201901,P00308,4606
201901,P00309,4458
201901,P00310,1388
201901,P00311,6107
201901,P00312,1041
201901,P00313,2806
201901,P00314,3366
201901,P00315,30678
201901,P00316,7404
201901,P00317,4544
201901,P00318,17551
201901,P00319,8478
201901,P00320,1323
201901,P00321,1639
201901,P00322,806
201901,P00323,602
201901,P00324,9062
201901,P00325,7543
201901,P00326,9065
201901,P00327,6081
201901,P00328,14865
201901,P00329,1724
201901,P00330,18029
201901,P00331,7361
201901,P00332,6744
201901,P00333,5844
201901,P00334,2730
201901,P00335,3274
201901,P00336,5501
201901,P00337,5264
201901,P00338,3082
201901,P00339,2807
201901,P00340,2489
201901,P00341,4872
201901,P00342,1312
201901,P00343,3534
201901,P00344,3935
201901,P00345,23443
201901,P00346,6949
201901,P00347,2544
201901,P00348,1172
201901,P00349,8005
201901,P00350,4390
201901,P00351,3297
201901,P00352,690
201901,P00353,2646
201901,P00354,2730
201901,P00355,4161
201901,P00356,30747
201901,P00357,9518
201901,P00358,20776
201901,P00359,852
201901,P00360,7035
201901,P00361,2270
201901,P00362,4806
201901,P00363,4767
201901,P00364,2315
201901,P00365,3268
201901,P00366,3553
201901,P00367,2374
201901,P00368,5190
201901,P00369,2010
201901,P00370,2235
201901,P00371,1509
201901,P00372,6433
201901,P00373,4111
201901,P00374,4436
201901,P00375,1935
201901,P00376,1456
201901,P00377,3523
201901,P00378,489
201901,P00379,4210
201901,P00380,1509
201901,P00381,1814
201901,P00382,1776
201901,P00383,578
201901,P00384,6397
201901,P00385,20330
201901,P00386,2870
201901,P00387,1937
201901,P00388,349
201901,P00389,4270
201901,P00390,3599
201901,P00391,3501
201901,P00392,2677
201901,P00393,5496
201901,P00394,7619
201901,P00395,2974
201901,P00396,4772
201901,P00397,10764
201901,P00398,17548
201901,P00399,2636
201901,P00400,2067
201901,P00401,6678
201901,P00402,3067
201901,P00403,1485
201901,P00404,2112
201901,P00405,3837
201901,P00406,1339
201901,P00407,1714
201901,P00408,6223
201901,P00409,3500
201901,P00410,6417
201901,P00411,26868
201901,P00412,139
201901,P00413,3384
201901,P00414,7421
201901,P00415,4339
201901,P00416,7303
201901,P00417,2664
201901,P00418,6102
201901,P00419,3916
201901,P00420,12032
201901,P00421,12766
201901,P00422,1110
201901,P00423,664
201901,P00424,6118
201901,P00425,10420
201901,P00426,1494
201901,P00427,13446
201901,P00428,12588
201901,P00429,10364
201901,P00430,1907
201901,P00431,1841
201901,P00432,719
201902,P00433,3298
201902,P00434,3737
201902,P00435,6641
201902,P00436,2102
201902,P00437,3244
201902,P00438,5105
201902,P00439,2799
201902,P00440,2587
201902,P00441,804
201902,P00442,799
201902,P00443,7861
201902,P00444,540
201902,P00445,2518
201902,P00446,4755
201902,P00447,1232
201902,P00448,11544
201902,P00449,572
201902,P00450,3186
201902,P00451,6218
201902,P00452,2926
201902,P00453,5685
201902,P00454,4644
201902,P00455,7020
201902,P00456,9708
201902,P00457,6312
201902,P00458,3649
201902,P00459,1313
201902,P00460,3836
201902,P00461,4827
201902,P00462,4642
201902,P00463,5235
201902,P00464,623
201902,P00465,1349
201902,P00466,691
201902,P00467,6940
201902,P00468,4861
201902,P00469,3040
201902,P00470,1912
201902,P00471,67776
201902,P00472,12612
201902,P00473,4646
201902,P00474,4246
201902,P00475,10214
201902,P00476,2641
201902,P00477,9240
201902,P00478,469
201902,P00479,5880
201902,P00480,5045
201902,P00481,20653
201902,P00482,1081
201902,P00483,5168
201902,P00484,3828
201902,P00485,1568
201902,P00486,146
201902,P00487,6381
201902,P00488,4797
201902,P00489,1752
201902,P00490,1767
201902,P00491,906
201902,P00492,2560
201902,P00493,11235
201902,P00494,5382
201902,P00495,2813
201902,P00496,381
201902,P00497,3228
201902,P00498,3776
201902,P00499,5845
201902,P00500,4042
201902,P00501,2176
201902,P00502,4418
201902,P00503,1184
201902,P00504,3268
201902,P00505,1766
201902,P00506,1447
201902,P00507,3030
201902,P00508,1928
201902,P00509,5659
201902,P00510,4491
201902,P00511,9957
201902,P00512,2466
201902,P00513,9605
201902,P00514,2626
201902,P00515,160
201902,P00516,3511
201902,P00517,2487
201902,P00518,1513
201902,P00519,6396
201902,P00520,1055
201902,P00521,3743
201902,P00522,12774
201902,P00523,2470
201902,P00524,2807
201902,P00525,17715
201902,P00526,4860
201902,P00527,8960
201902,P00528,551
201902,P00529,4090
201902,P00530,3452
201902,P00531,2251
201902,P00532,670
201902,P00533,4913
201902,P00534,3125
201902,P00535,170
201902,P00536,1658
201902,P00537,1275
201902,P00538,1532
201902,P00539,6621
201902,P00540,11515
201902,P00541,12965
201902,P00542,2254
201902,P00543,4475
201902,P00544,5091
201902,P00545,16215
201902,P00546,1561
201902,P00547,4666
201902,P00548,17517
201902,P00549,2134
201902,P00550,9221
201902,P00551,14248
201902,P00552,867
201902,P00553,1931
201902,P00554,2871
201902,P00555,2705
201902,P00556,2679
201902,P00557,1077
201902,P00558,2464
201902,P00559,2400
201902,P00560,3264
201902,P00561,4972
201902,P00562,61442
201902,P00563,3310
201902,P00564,6502
201902,P00565,4469
201902,P00566,7361
201902,P00567,4609
201902,P00568,2604
201902,P00569,9623
201902,P00570,9989
201902,P00571,5242
201902,P00572,5489
201902,P00573,2613
201902,P00574,7154
201902,P00575,5193
201902,P00576,5163
201902,P00577,31095
201902,P00578,2461
201902,P00579,3533
201902,P00580,3165
201902,P00581,2994
201902,P00582,1556
201902,P00583,2578
201902,P00584,4613
201902,P00585,3532
201902,P00586,3280
201902,P00587,6834
201902,P00588,9747
201902,P00589,9690
201902,P00590,2433
201902,P00591,6235
201902,P00592,4253
201902,P00593,2623
201902,P00594,7361
201902,P00595,615
201902,P00596,2051
201902,P00597,959
201902,P00598,15952
201902,P00599,1948
201902,P00600,24378
201902,P00601,7052
201902,P00602,2307
201902,P00603,12383
201902,P00604,3631
201902,P00605,3351
201902,P00606,40
201902,P00607,2921
201902,P00608,8370
201902,P00609,1623
201902,P00610,3697
201902,P00611,1207
201902,P00612,9171
201902,P00613,488
201902,P00614,4320
201902,P00615,2218
201902,P00616,3758
201902,P00617,2979
201902,P00618,1280
201902,P00619,16169
201902,P00620,386
201902,P00621,3223
201902,P00622,3886
201902,P00623,2233
201902,P00624,2438
201902,P00625,738
201902,P00626,3023
201902,P00627,5808
201902,P00628,639
201902,P00629,2711
201902,P00630,7956
201902,P00631,1772
201902,P00632,912
201902,P00633,2424
201902,P00634,4549
201902,P00635,6609
201902,P00636,11279
201902,P00637,16382
201902,P00638,1074
201902,P00639,3711
201902,P00640,68
201902,P00641,2382
201902,P00642,1905
201902,P00643,1543
201902,P00644,7135
201902,P00645,586
201902,P00646,6762
201902,P00647,5112
201902,P00648,2378
201902,P00649,5685
201902,P00650,10127
201902,P00651,12354
201902,P00652,1279
201902,P00653,4804
201902,P00654,1378
201902,P00655,4485
201902,P00656,16651
201902,P00657,712
201902,P00658,9822
201902,P00659,2969
201902,P00660,10064
201902,P00661,6737
201902,P00662,2874
201902,P00663,4096
201902,P00664,4475
201902,P00665,22065
201902,P00666,2149
201902,P00667,67
201902,P00668,5521
201902,P00669,5652
201902,P00670,1370
201902,P00671,9493
201902,P00672,1649
201902,P00673,1405
201902,P00674,4976
201902,P00675,593
201902,P00676,5191
201902,P00677,1023
201902,P00678,18031
201902,P00679,4775
201902,P00680,3856
201902,P00681,21051
201902,P00682,2266
201902,P00683,394
201902,P00684,1829
201902,P00685,1211
201902,P00686,15717
201902,P00687,4538
201902,P00688,16369
201902,P00689,3731
201902,P00690,409
201902,P00691,2015
201902,P00692,2913
201902,P00693,9022
201902,P00694,1095
201902,P00695,1560
201902,P00696,2752
201902,P00697,2362
201902,P00698,1504
201902,P00699,2395
201902,P00700,3643
201902,P00701,13362
201902,P00702,1529
201902,P00703,4799
201902,P00704,246
201902,P00705,3912
201902,P00706,12617
201902,P00707,7984
201902,P00708,86
201902,P00709,1397
201902,P00710,862
201902,P00711,1961
201902,P00712,1246
201902,P00713,119
201902,P00714,506
201902,P00715,1962
201902,P00716,2588
201902,P00717,6608
201902,P00718,9407
201902,P00719,3098
201902,P00720,1436
201902,P00721,888
201902,P00722,2594
201902,P00723,6641
201902,P00724,116
201902,P00725,1505
201902,P00726,6808
201902,P00727,24355
201902,P00728,2190
201902,P00729,2897
201902,P00730,4526
201902,P00731,890
201902,P00732,5003
201902,P00733,1337
201902,P00734,2461
201902,P00735,309
201902,P00736,840
201902,P00737,3964
201902,P00738,4558
201902,P00739,1231
201902,P00740,1065
201902,P00741,6581
201902,P00742,310
201902,P00743,2567
201902,P00744,10565
201902,P00745,6906
201902,P00746,1933
201902,P00747,3198
201902,P00748,733
201902,P00749,19939
201902,P00750,1262
201902,P00751,1458
201902,P00752,803
201902,P00753,400
201902,P00754,1829
201902,P00755,102
201902,P00756,1629
201902,P00757,1638
201902,P00758,7874
201902,P00759,4248
201902,P00760,4086
201902,P00761,2902
201902,P00762,14644
201902,P00763,2160
201902,P00764,1007
201902,P00765,3073
201902,P00766,4282
201902,P00767,1560
201902,P00768,3186
201902,P00769,1064
201902,P00770,1663
201902,P00771,6316
201902,P00772,133
201902,P00773,1867
201902,P00774,12924
201902,P00775,3347
201902,P00776,6918
201902,P00777,25241
201902,P00778,19735
201902,P00779,6690
201902,P00780,1486
201902,P00781,2944
201902,P00782,760
201902,P00783,4562
201902,P00784,1680
201902,P00785,3921
201902,P00786,5959
201902,P00787,5096
201902,P00788,2514
201902,P00789,2051
201902,P00790,2576
201902,P00791,4003
201902,P00792,1618
201902,P00793,2789
201902,P00794,2445
201902,P00795,3549
201902,P00796,8066
201902,P00797,691
201902,P00798,7104
201902,P00799,10077
201902,P00800,7910
201902,P00801,1442
201902,P00802,1600
201902,P00803,7879
201902,P00804,5919
201902,P00805,29960
201902,P00806,1311
201902,P00807,9567
201902,P00808,445
201902,P00809,1004
201902,P00810,2643
201902,P00811,5014
201902,P00812,4980
201902,P00813,3515
201902,P00814,5461
201902,P00815,3110
201902,P00816,5258
201902,P00817,3761
201902,P00818,5120
201902,P00819,3972
201902,P00820,11687
201902,P00821,1194
201902,P00822,1736
201902,P00823,16652
201902,P00824,7458
201902,P00825,128
201902,P00826,4299
201902,P00827,16309
201902,P00828,1803
201902,P00829,2182
201902,P00830,920
201902,P00831,4749
201902,P00832,14748
201902,P00833,1610
201902,P00834,10478
201902,P00835,2887
201902,P00836,12007
201902,P00837,5921
201902,P00838,3434
201902,P00839,870
201902,P00840,2789
201902,P00841,2969
201902,P00842,4568
201902,P00843,3227
201902,P00844,1699
201902,P00845,46
201902,P00846,2069
201902,P00847,1511
201902,P00848,1181
201902,P00849,17843
201902,P00850,8044
201902,P00851,1049
201902,P00852,7890
201902,P00853,15888
201902,P00854,1759
201902,P00855,823
201902,P00856,1306
201902,P00857,1364
201902,P00858,14439
201902,P00859,5910
201902,P00860,556
201902,P00861,3067
201902,P00862,2048
201902,P00863,3536
201902,P00864,5212
201902,P00865,3162
201902,P00866,2409
201902,P00867,12715
201902,P00868,3805
201902,P00869,1273
201902,P00870,1881
201902,P00871,3924
201902,P00872,4606
201902,P00873,3519
201902,P00874,3322
201902,P00875,2899
201902,P00876,1050
201902,P00877,855
201902,P00878,1189
201902,P00879,796
201902,P00880,12798
201902,P00881,4366
201902,P00882,1864
201902,P00883,2137
201902,P00884,9524
201902,P00885,2519
201902,P00886,4591
201902,P00887,4485
201902,P00888,1875
201902,P00889,1809
201902,P00890,1889
201902,P00891,27023
201902,P00892,5356
201902,P00893,674
201902,P00894,956
201902,P00895,30582
201902,P00896,2092
201902,P00897,2417
201902,P00898,1423
201902,P00899,7753
201902,P00900,6056
201902,P00901,6305
201902,P00902,2679
201902,P00903,4183
201902,P00904,3324
201902,P00905,3333
201902,P00906,2910
201902,P00907,11018
201902,P00908,6081
201902,P00909,3172
201902,P00910,7711
201902,P00911,10204
201902,P00912,4532
201902,P00913,3041
201902,P00914,2627
201902,P00915,4275
201902,P00916,2133
201902,P00917,26369
201902,P00918,10123
201902,P00919,12400
201902,P00920,2594
201902,P00921,4911
201902,P00922,11044
201902,P00923,648
201902,P00924,6917
201902,P00925,4989
201902,P00926,5405
201902,P00927,951
201902,P00928,3139
201902,P00929,7282
201902,P00930,3297
201902,P00931,6637
201902,P00932,9626
201902,P00933,1222
201902,P00934,2385
201902,P00935,3923
201902,P00936,12280
201902,P00937,874
201902,P00938,69
201902,P00939,4538
201902,P00940,1378
201902,P00941,932
201902,P00942,559
201902,P00943,1461
201902,P00944,27244
201902,P00945,2172
201902,P00946,5876
201902,P00947,5428
201902,P00948,11490
201902,P00949,8890
201902,P00950,830
201902,P00951,875
201902,P00952,4274
201902,P00953,530
201902,P00954,13010
201902,P00955,1745
201902,P00956,12716
201902,P00957,12383
201903,P00958,3945
201903,P00959,14208
201903,P00960,2789
201903,P00961,1912
201903,P00962,9761
201903,P00963,9533
201903,P00964,2205
201903,P00965,634
201903,P00966,15845
201903,P00967,3533
201903,P00968,726
201903,P00969,1346
201903,P00970,4394
201903,P00971,1542
201903,P00972,13912
201903,P00973,4228
201903,P00974,7827
201903,P00975,5721
201903,P00976,1142
201903,P00977,11938
201903,P00978,5527
201903,P00979,4528
201903,P00980,6170
201903,P00981,3530
201903,P00982,10907
201903,P00983,13496
201903,P00984,4334
201903,P00985,2711
201903,P00986,9192
201903,P00987,3651
201903,P00988,7212
201903,P00989,2129
201903,P00990,348
201903,P00991,4886
201903,P00992,4215
201903,P00993,667
201903,P00994,2571
201903,P00995,6434
201903,P00996,995
201903,P00997,2905
201903,P00998,2813
201903,P00999,14321
201903,P01000,2475
201903,P01001,6806
201903,P01002,418
201903,P01003,4988
201903,P01004,4307
201903,P01005,6879
201903,P01006,1746
201903,P01007,11139
201903,P01008,518
201903,P01009,3030
201903,P01010,2658
201903,P01011,5675
201903,P01012,7651
201903,P01013,8904
201903,P01014,4252
201903,P01015,4462
201903,P01016,2464
201903,P01017,8807
201903,P01018,9725
201903,P01019,6637
201903,P01020,4216
201903,P01021,2636
201903,P01022,1480
201903,P01023,21580
201903,P01024,12430
201903,P01025,1573
201903,P01026,7157
201903,P01027,619
201903,P01028,8821
201903,P01029,3341
201903,P01030,8911
201903,P01031,5296
201903,P01032,115
201903,P01033,4011
201903,P01034,1598
201903,P01035,3207
201903,P01036,23752
201903,P01037,5949
201903,P01038,1172
201903,P01039,13172
201903,P01040,9069
201903,P01041,1693
201903,P01042,1248
201903,P01043,120
201903,P01044,1775
201903,P01045,9032
201903,P01046,19206
201903,P01047,8491
201903,P01048,9975
201903,P01049,2733
201903,P01050,4262
201903,P01051,24858
201903,P01052,2198
201903,P01053,3088
201903,P01054,16310
201903,P01055,2283
201903,P01056,972
201903,P01057,9977
201903,P01058,4088
201903,P01059,57
201903,P01060,3907
201903,P01061,3333
201903,P01062,3987
201903,P01063,3269
201903,P01064,5866
201903,P01065,2962
201903,P01066,9801
201903,P01067,3288
201903,P01068,9586
201903,P01069,4504
201903,P01070,1693
201903,P01071,6095
201903,P01072,3436
201903,P01073,6659
201903,P01074,13820
201903,P01075,39
201903,P01076,2695
201903,P01077,4944
201903,P01078,704
201903,P01079,5458
201903,P01080,1942
201903,P01081,9995
201903,P01082,27014
201903,P01083,3420
201903,P01084,578
201903,P01085,6888
201903,P01086,29
201903,P01087,594
201903,P01088,5692
201903,P01089,1741
201903,P01090,234
201903,P01091,4694
201903,P01092,728
201903,P01093,8570
201903,P01094,9737
201903,P01095,12231
201903,P01096,10898
201903,P01097,2929
201903,P01098,741
201903,P01099,4774
201903,P01100,475
201903,P01101,2823
201903,P01102,173
201903,P01103,7793
201903,P01104,5060
201903,P01105,11955
201903,P01106,4953
201903,P01107,9218
201903,P01108,960
201903,P01109,3307
201903,P01110,5710
201903,P01111,11582
201903,P01112,576
201903,P01113,2599
201903,P01114,12193
201903,P01115,8360
201903,P01116,3141
201903,P01117,9792
201903,P01118,5881
201903,P01119,16307
201903,P01120,5532
201903,P01121,6224
201903,P01122,5153
201903,P01123,11450
201903,P01124,5313
201903,P01125,13113
201903,P01126,997
201903,P01127,8347
201903,P01128,19170
201903,P01129,2948
201903,P01130,14048
201903,P01131,9682
201903,P01132,4456
201903,P01133,11372
201903,P01134,470
201903,P01135,3275
201903,P01136,68
201903,P01137,11137
201903,P01138,2966
201903,P01139,12287
201903,P01140,606
201903,P01141,4966
201903,P01142,4522
201903,P01143,3298
201903,P01144,1195
201903,P01145,691
201903,P01146,4978
201903,P01147,1242
201903,P01148,5128
201903,P01149,1773
201903,P01150,4455
201903,P01151,4629
201903,P01152,4293
201903,P01153,9084
201903,P01154,23
201903,P01155,1120
201903,P01156,1348
201903,P01157,5392
201903,P01158,3912
201903,P01159,2042
201903,P01160,11820
201903,P01161,7328
201903,P01162,646
201903,P01163,5771
201903,P01164,2526
201903,P01165,4974
201903,P01166,1984
201903,P01167,3538
201903,P01168,9009
201903,P01169,12014
201903,P01170,14334
201903,P01171,94
201903,P01172,5349
201903,P01173,4466
201903,P01174,16540
201903,P01175,6637
201903,P01176,5133
201903,P01177,2509
201903,P01178,962
201903,P01179,1433
201903,P01180,12005
201903,P01181,1065
201903,P01182,3974
201903,P01183,4825
201903,P01184,4280
201903,P01185,16780
201903,P01186,7653
201903,P01187,4298
201903,P01188,4737
201903,P01189,5246
201903,P01190,515
201903,P01191,765
201903,P01192,8703
201903,P01193,879
201903,P01194,7043
201903,P01195,4036
201903,P01196,7329
201903,P01197,3645
201903,P01198,10558
201903,P01199,1923
201903,P01200,2921
201903,P01201,12366
201903,P01202,2717
201903,P01203,6278
201903,P01204,3597
201903,P01205,2731
201903,P01206,500
201903,P01207,3556
201903,P01208,3714
201903,P01209,3963
201903,P01210,12882
201903,P01211,1265
201903,P01212,1958
201903,P01213,2171
201903,P01214,7201
201903,P01215,6233
201903,P01216,3541
201903,P01217,3070
201903,P01218,3466
201903,P01219,1843
201903,P01220,3055
201903,P01221,916
201903,P01222,9895
201903,P01223,10199
201903,P01224,130
201903,P01225,10016
201903,P01226,86
201903,P01227,7124
201903,P01228,6699
201903,P01229,1605
201903,P01230,23070
201903,P01231,8750
201903,P01232,2781
201903,P01233,2769
201903,P01234,4932
201903,P01235,3912
201903,P01236,18633
201903,P01237,1790
201903,P01238,2315
201903,P01239,16055
201903,P01240,12219
201903,P01241,6258
201903,P01242,2571
201903,P01243,1371
201903,P01244,1067
201903,P01245,6117
201903,P01246,5329
201903,P01247,18898
201903,P01248,3888
201903,P01249,2649
201903,P01250,97
201903,P01251,7274
201903,P01252,5539
201903,P01253,977
201903,P01254,7926
201903,P01255,2263
201903,P01256,8029
201903,P01257,5885
201903,P01258,6184
201903,P01259,8360
201903,P01260,1683
201903,P01261,1364
201903,P01262,17202
201903,P01263,12152
201903,P01264,2611
201903,P01265,808
201903,P01266,4122
201903,P01267,3346
201903,P01268,8811
201903,P01269,5087
201903,P01270,5383
201903,P01271,4507
201903,P01272,5171
201903,P01273,1810
201903,P01274,18833
201903,P01275,2579
201903,P01276,14722
201903,P01277,5015
201903,P01278,1473
201903,P01279,937
201903,P01280,2704
201903,P01281,18733
201903,P01282,4954
201903,P01283,166
201903,P01284,16963
201903,P01285,3493
201903,P01286,4995
201903,P01287,1522
201903,P01288,5366
201903,P01289,20140
201903,P01290,4158
201903,P01291,8343
201903,P01292,4244
201903,P01293,916
201903,P01294,4465
201903,P01295,1691
201903,P01296,2133
201903,P01297,1563
201903,P01298,998
201903,P01299,7087
201903,P01300,6553
201903,P01301,3532
201903,P01302,2629
201903,P01303,5220
201903,P01304,13200
201903,P01305,3361
201903,P01306,2143
201903,P01307,7335
201903,P01308,335
201903,P01309,2334
201903,P01310,6799
201903,P01311,3067
201903,P01312,9315
201903,P01313,40
201903,P01314,3142
201903,P01315,5615
201903,P01316,8417
201903,P01317,6953
201903,P01318,4085
201903,P01319,8239
201903,P01320,4235
201903,P01321,1270
201903,P01322,4251
201903,P01323,18202
201903,P01324,8431
201903,P01325,7505
201903,P01326,20317
201903,P01327,802
201903,P01328,1812
201903,P01329,2060
201903,P01330,3400
201903,P01331,9967
201903,P01332,4248
201903,P01333,9727
201903,P01334,8399
201903,P01335,2257
201903,P01336,2107
201903,P01337,5296
201903,P01338,6183
201903,P01339,7339
201903,P01340,8247
201903,P01341,1564
201903,P01342,867
201903,P01343,3330
201903,P01344,4120
201903,P01345,10181
201903,P01346,2889
201903,P01347,3892
201903,P01348,11092
201903,P01349,1062
201903,P01350,8065
201903,P01351,1204
201903,P01352,11104
201903,P01353,1378
201903,P01354,2203
201903,P01355,9022
201903,P01356,2262
201903,P01357,6890
201903,P01358,2061
201903,P01359,4094
201903,P01360,7411
201903,P01361,11304
201903,P01362,5810
201903,P01363,1501
201903,P01364,1068
201903,P01365,4937
201903,P01366,14250
201903,P01367,7631
201903,P01368,2082
201903,P01369,4846
201903,P01370,7230
201903,P01371,4427
201903,P01372,2858
201903,P01373,13983
201903,P01374,18041
201903,P01375,8633
201903,P01376,910
201903,P01377,10085
201903,P01378,4054
201903,P01379,5356
201903,P01380,5853
201903,P01381,2933
201903,P01382,5718
201903,P01383,7274
201903,P01384,2099
201903,P01385,1006
201903,P01386,10717
201903,P01387,6101
201903,P01388,8830
201903,P01389,3990
201903,P01390,64
201903,P01391,6680
201903,P01392,16588
201903,P01393,3989
201903,P01394,7163
201903,P01395,7153
201903,P01396,80
201903,P01397,5420
201903,P01398,17592
201903,P01399,6365
201903,P01400,5737
201903,P01401,11511
201903,P01402,2497
201903,P01403,3260
201903,P01404,6190
201903,P01405,9886
201903,P01406,3087
201903,P01407,16288
201904,P01408,1105
